date,Dakar_yoff,Diourbel,Fatick,Kaffirine,Kaolak,Kedougou,Kolda,Louga,Matam,Stlouis,Tamba,Thies,Sediou,Ziguinchor
31/01/2003,0,0.5111324,0.47198045,0.68309313,0.37425047,0.005381002,0.048100743,0.6313315,0.022063365,0.01941733,0.054868344,0.44172478,0.06531763,0.05947032
28/02/2003,0,0.13433431,0.07160389,0.029196262,0.0478947,0,0.08536324,0.56806046,0.78257835,1.3187636,0.12139563,0.2692211,0.044729963,0.027074479
31/03/2003,0,0.007539142,0.006296036,0,0.001531571,0,0,0,0.014083981,0.03796133,0.008163223,0.022315096,0.28873587,0.003975973
30/04/2003,10,0,0,0.058904976,0,2.5796914,0.5237437,0,0.14637847,0,0.6243315,0.034857623,0,0.09020658
31/05/2003,59,0.46817538,0.5150689,0.8425534,0.6215348,33.147194,7.0814714,0.37488592,0.2020384,0.60540503,6.480877,0.7287382,3.0309048,2.0172203
30/06/2003,79,14.377891,16.396866,57.46312,31.522402,178.54228,129.28897,3.611045,19.211765,0.74549574,89.74492,7.668937,145.37257,125.76726
31/07/2003,70,154.15643,175.54448,161.40196,165.16664,267.75787,286.98474,98.60319,97.85338,59.334198,158.11449,120.496315,364.7834,370.75507
31/08/2003,46,148.6002,165.73335,162.1542,166.311,350.78848,365.54474,100.47076,190.71933,54.654697,221.10965,146.41603,371.64014,415.05865
30/09/2003,0,161.41173,160.97563,172.43994,180.83362,300.28662,294.91208,141.78094,121.96747,124.54944,205.02063,157.71301,248.05072,303.58426
31/10/2003,0,32.488194,40.732273,35.29272,43.517704,80.94801,110.89095,16.75181,18.031023,19.911398,69.534904,27.724234,92.97457,93.67859
30/11/2003,0,0.042488057,0.51635814,0.003491094,0.08671935,2.6088386,0.002715163,0.075617485,0.9761005,0.44991332,0.6318097,0.022564247,0.028139796,0.0027424
31/12/2003,0,0.77487075,0.8997499,1.1856723,0.9784417,0.22672233,0.86180454,0.24529202,0.72516626,0.81899726,0.18956333,0.9790448,1.0616784,0.67905337
31/01/2004,0,0.23438695,0.11724043,0.7698428,0.53917366,0.004586592,0.03759083,0.76965404,0.12471996,0.5758822,0.06478431,0.5680107,0.09198458,0.091081075
29/02/2004,0,0.108983345,0.062852964,0.04455808,0.04369037,0.092603356,0.011085688,0.1661292,1.1334592,1.1231296,0.033830542,0,0.15548737,0.08985323
31/03/2004,0,0,0,0,0,0.003836336,0,0,0,0,0,0.003021252,0.24516189,0
30/04/2004,2,0.016638458,0,0.09469472,0,1.7534982,0,0.006384368,0.2548251,0.006053909,0.002577957,0.0988012,0.30734882,0.087233275
31/05/2004,29,0.46892154,0.46670306,0.8323813,0.4236465,54.770718,13.475123,0,0.7240134,0,18.478128,0.7249197,9.684021,1.4943475
30/06/2004,134,36.0298,29.851547,57.770874,42.04119,106.329025,106.09657,8.825382,20.290277,0.10609215,90.33022,6.299108,135.64359,75.10185
31/07/2004,80,122.12064,154.6651,200.53114,165.63147,288.27667,238.98038,110.34792,105.95617,56.37871,190.63104,111.40262,323.33563,300.22406
31/08/2004,0,152.29181,178.29668,200.87218,202.03058,396.76328,291.934,95.903404,133.4448,88.99466,246.13614,126.303696,288.96603,330.99066
30/09/2004,0,101.22034,115.704445,131.52168,154.87883,195.44267,229.32378,60.95549,72.35307,45.794144,151.64885,70.994644,242.22089,220.40028
31/10/2004,0,17.735147,16.291494,27.612698,23.332329,73.00336,67.46322,8.389519,9.523487,6.2062635,48.756416,11.102107,95.49596,62.350014
30/11/2004,0,0.87644887,0.8195948,0.66337276,1.1330496,2.9879313,1.6073248,0.7437176,0.55643255,0.8963958,1.3269281,0.8066115,2.314448,2.0109894
31/12/2004,0,0.81116617,0.93183357,0.884918,0.9580991,0.034176864,0.8339002,0.25383112,0.71025324,0.7984499,0.079767734,0.90330505,1.0642253,0.5830513
31/01/2005,0,0.6035841,0.62201184,0.7469975,0.5631081,0.000618675,0.001845039,0.83773005,0.07407534,0.92899424,0.01717377,0.5393174,0.011805009,0.020568294
28/02/2005,0,0.18189617,0.08590433,0.055309493,0.053855307,0.12038061,0,0.5911097,1.7002723,1.3138969,0.24188353,0.25434557,0.27246872,0.14378662
31/03/2005,0,0,0,0,0,0,0,0,0,0,0.004881502,0,0.04588904,0
30/04/2005,3,0.016419297,0,0.12666477,0,2.2474365,0.96938133,0.00625689,0.29190576,5.71E-05,0.80861545,0.10990722,0.08387397,0.10957493
31/05/2005,56,0.51829034,0.5708506,1.4140294,0.97115886,64.62254,32.600296,0.46890035,0.90126336,0.18114655,34.850113,0.77060616,5.4321036,3.488688
30/06/2005,251,48.88004,42.415916,60.861736,50.52924,162.03217,118.87122,24.118683,47.835182,16.613937,132.91452,19.268372,126.499344,95.17691
31/07/2005,128,156.37434,177.88338,207.35147,199.68068,205.90097,255.98106,119.4605,105.83193,93.37268,178.11351,126.629005,297.08633,319.24933
31/08/2005,41,223.29312,254.3888,235.15266,249.32483,291.79507,213.26944,170.89497,124.3986,112.15872,185.76718,253.90436,299.1446,349.56528
30/09/2005,0,144.7374,147.94461,150.81812,165.09497,324.59256,267.58734,94.59007,123.46447,67.553085,251.75,137.55922,244.27583,281.8604
31/10/2005,0,50.86807,61.534924,70.19755,86.72129,82.35296,104.58008,19.809498,6.696319,9.718381,48.239662,45.1536,170.94264,177.40172
30/11/2005,0,0.4009376,0.025715651,0.04575775,0.15114555,0.06905102,0.5172143,0.12955342,1.0680964,0.6526615,0.14574227,0.6213513,1.0042491,0.7723639
31/12/2005,0,0.80668193,0.9341779,1.1990746,0.99774843,0.19748983,0.6414431,0.22219084,0.7182302,0.8260568,0.12384993,1.0081757,0.45471513,0.29871976
31/01/2006,0,0.54491687,0.46730945,0.4738451,0.0760447,0.000555461,0.02749648,0.8270157,0.11866813,1.0823612,0.023987968,0.5532588,0.058232605,0.03045731
28/02/2006,0,0.17651919,0.13290134,0.06982259,0.07134557,0.10157207,0.4978541,0.58495367,1.1664201,1.2021542,0.23584294,0.27230373,0.2660304,0.15150774
31/03/2006,0,0,0,0,0.000222804,0,0,0,0.00300549,0.005749743,0.053680606,0,0.04825153,0.033425376
30/04/2006,14,0,0,0,0,2.58359,0.56164837,0,0,0,0.004432358,0,0,0
31/05/2006,42,0,0,0,0,60.73732,14.330507,0,0.03834688,0,9.888187,0,7.348593,2.9512434
30/06/2006,131,40.070984,34.915154,59.39425,43.193966,140.7089,122.930115,10.607343,35.117607,2.6344752,132.84006,17.724455,151.0595,127.153465
31/07/2006,122,62.477234,61.85176,89.29132,62.82059,218.11937,149.4103,83.44908,60.461044,79.493454,101.686485,70.853096,262.8498,378.85028
31/08/2006,14,203.44492,237.7617,187.92584,231.2058,278.0501,249.83717,104.394035,115.24275,54.842728,175.52785,145.62646,367.91815,443.8014
30/09/2006,0,141.942,144.96686,155.44623,172.12245,302.1231,287.08807,79.676186,60.40985,76.14387,205.40245,132.41074,289.23386,387.87494
31/10/2006,0,38.097717,36.00145,39.690113,39.114033,53.926476,139.91728,22.625835,5.744567,14.669183,55.226032,40.773598,152.41481,119.386856
30/11/2006,0,0,0,0,0,0.6583655,0.10719292,0.00241485,0.10156863,0.21182662,0,0.022778396,1.4278839,0.00476895
31/12/2006,0,0.68922055,0.82632947,1.0071514,0.9060422,0.17974001,0.7704233,0.2173037,0.5649777,0.78630155,0.11439688,0.97029936,1.0171828,0.56378853
31/01/2007,0,0.5856495,0.52452874,0.5988645,0.5112739,0,0.003734516,0.5279685,0.057467774,0.8675472,0.031209558,0.51554686,0.009509292,0.028034449
28/02/2007,0,0.1593848,0.10923907,0.059169963,0.07203023,0.08520275,0.42122445,0.66353315,1.1143556,1.2429602,0.14905956,0.2455153,0.17613406,0.11654335
31/03/2007,0,0.004823059,0.007859325,0.000931314,0.002986478,0,0.036726825,0.006548907,0.06607105,0.037311856,0.08549262,0.01958481,0.44155785,0.07298194
30/04/2007,0,0.015013755,0.007950807,0.003013997,0.008574555,0.000798943,0.043456096,0.006034727,0.006680583,0.03933291,0.11813337,0.15052538,0.16850984,0
31/05/2007,67,0.46431586,0.26993513,0.33109373,0.3411811,36.75611,15.251563,0,0.26666442,0.015148556,12.076054,0,4.7263474,2.081282
30/06/2007,116,20.885416,19.119976,38.86045,26.974867,133.05853,68.29328,4.6129355,6.038741,0.22695689,53.61548,7.605074,65.08869,44.600117
31/07/2007,96,93.57788,107.42497,112.35004,110.4359,249.097,197.00502,83.63446,88.461105,41.12266,178.9023,72.67671,254.12225,210.50131
31/08/2007,1,139.10518,152.8108,159.7292,159.34927,340.85352,301.8583,119.89462,251.60588,86.38128,232.7734,99.5891,328.5004,409.6504
30/09/2007,0,249.78987,242.95995,177.49966,231.05411,199.34483,142.71307,178.18129,44.281357,164.44394,107.63899,165.65044,255.96204,354.4833
31/10/2007,0,5.213305,5.8091397,10.811718,12.056716,67.48245,57.765106,8.6843405,7.673241,6.798341,36.633347,6.602195,55.830708,40.99054
30/11/2007,0,0.015790097,0.23801008,0.1967438,0.25636676,0.6466549,0.78264105,0.07696803,0.9613925,0.5679703,1.4992902,0.20266435,2.288474,2.5382288
31/12/2007,0,0.7579416,0.8565462,0.40678516,0.92018145,0.05305561,0.2482473,0.2006387,0.61055386,0.8194366,0.20501462,0.82146055,1.0479596,0.69056803
31/01/2008,0,0.1414055,0.49350575,0.60887116,0.45801863,0.001168369,0,0.7896971,0.014566571,0.96091574,0.026242523,0.60033715,0.048358254,0.052989595
29/02/2008,0,0.106798284,0.05358245,0.028543595,0.021449702,0.06088601,0,0.48683864,1.0750308,1.1713502,0.23029532,0.21542057,0,0.070688
31/03/2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30/04/2008,8,0,0,0,0,0.29409477,0.019470293,0,0,0,0,0.006632719,0,0
31/05/2008,73,0,0,1.7884231,0,63.392956,16.471067,0,1.1197563,0,13.814109,0,6.1474686,4.4086523
30/06/2008,228,68.07952,71.13391,81.7618,94.50799,140.95343,77.759735,22.954762,37.461075,12.233762,60.131073,12.501771,175.56224,171.54387
31/07/2008,136,148.43166,189.15686,200.52827,198.27336,244.32455,118.12597,84.04048,93.98804,60.141632,112.936676,130.96536,421.09775,521.42126
31/08/2008,19,151.35867,201.64072,197.33081,233.97745,381.3028,324.65292,106.87925,123.62127,77.849014,284.90854,151.99382,439.5896,531.98236
30/09/2008,0,152.92917,145.80592,159.79053,156.1533,229.42134,261.49854,87.42627,80.87975,76.17027,192.62569,162.97787,257.5289,292.58487
31/10/2008,0,25.328392,25.375095,39.296535,39.977226,137.16331,92.01427,8.673157,8.40349,8.605783,72.8687,16.9854,103.04751,140.1652
30/11/2008,0,0.005253555,0,0.001001231,0.016382141,0.82032865,1.0863829,0.075299054,0.22417742,0.28035986,0,0.006019893,0.0372438,0.016004888
31/12/2008,0,0.45935002,0.6374561,0.16932862,0.11664067,0,0,0.24165206,0.65088505,0.82605666,0.006181099,0.86528534,0,0
31/01/2009,0,0.8208426,0.81457347,0.8552776,0.72516197,0.007326664,0.04776906,0.98776877,0.048574165,0.8292293,0.058956616,0.7094712,0.04415518,0.046232462
28/02/2009,0,0.014877631,0,0,0,0.05926685,0,0.30220038,0,0.3622952,0,0.10514839,0,0
31/03/2009,0,0,0,0.000297311,0,0,0.07586754,0,0,0,0.08628637,0.001724661,0.3051536,0.022722758
30/04/2009,2,0,0,0,0,0.37548533,1.3377093,0,0,0,0.17554855,0,0.16959368,0
31/05/2009,87,0,0,0,0.043326065,71.053185,12.393992,0.008048829,0.28450367,0,15.627347,0,0.002052503,0
30/06/2009,228,20.562685,16.199678,35.888638,32.1302,149.80525,104.61914,7.5939426,56.040504,5.026889,126.87028,9.306482,96.19311,72.4037
31/07/2009,160,114.66388,144.61876,156.36615,186.99478,219.10612,183.38568,104.55207,88.070335,70.64954,143.8408,81.46312,247.03052,288.29968
31/08/2009,18,217.14516,273.94998,221.49466,282.0066,423.65567,393.56723,184.94876,114.81357,140.7763,237.48996,226.01724,526.34375,652.7989
30/09/2009,0,170.69708,164.94461,182.80432,183.42317,351.9691,236.36353,104.97002,127.62926,109.1411,236.9597,169.99442,240.04112,381.9856
31/10/2009,0,12.862619,15.228378,16.462582,18.56595,74.49411,47.59402,12.811747,6.943307,14.900324,33.82365,14.941848,53.54018,48.32318
30/11/2009,0,0.73504776,0.8905949,0.905781,1.1381849,4.271338,5.328435,0.75814813,0.9417878,0.94210845,2.1534157,1.1543286,4.994228,3.1881068
31/12/2009,0,0.8654785,0.92826253,1.6357255,1.1190737,0.21730816,0.8500062,0.3007207,0.85642684,0.89264673,0.20998155,1.0007225,1.0359987,0.6674375
31/01/2010,0,0.5873825,0.53883946,0.89870125,0.6064834,0.00285044,0.011960899,0.5883712,0.1119034,0.6131438,0.061416186,0.33941364,0.06393706,0.06862292
28/02/2010,0,0.17023012,0.08715201,0.015747013,0.051139224,0.048932277,0.34945205,0.49621493,0.43524736,0.70423484,0.19286141,0.21761954,0.09099189,0.11461218
31/03/2010,0,0,0,0,0,0,0,0,0,0,0.051725473,0,0.09484168,0
30/04/2010,17,0.005909822,0.004299495,0.026570506,0,3.068812,1.074487,0.007440753,0.001734742,0.05718348,0.08778419,0.041349772,0.06439275,0.07372531
31/05/2010,65,0.4889547,0.5470579,0.5634455,0.82279575,88.70937,15.540823,0.6007949,0,0.70410323,10.761996,0.8007859,5.566728,1.3820964
30/06/2010,165,44.98234,50.614716,71.34859,66.94806,159.15405,137.732,22.24775,22.981457,18.338165,150.69148,28.5134,121.29976,105.80658
31/07/2010,284,86.50529,89.06171,145.58054,130.25517,316.859,200.30081,77.27717,102.67794,72.3793,158.42438,47.138607,347.31738,410.13388
31/08/2010,18,140.67632,169.51807,140.88206,150.25093,353.33154,316.78094,107.353714,193.87202,78.86139,232.79692,157.95691,329.61325,361.77884
30/09/2010,0,312.09946,275.60187,255.13867,288.90524,463.0403,270.05615,285.26016,188.87375,284.23676,292.57614,283.66608,350.09683,565.29065
31/10/2010,0,32.310696,33.61224,30.783587,41.02781,127.13152,69.33335,21.252888,19.206993,17.164854,66.24764,19.38389,73.23711,122.23087
30/11/2010,0,0,0,0,0.00460665,4.272688,1.9112923,0.003186805,0.08172883,0.029544663,1.291693,0.02558991,1.395994,0.0665976
31/12/2010,0,0.79271525,0.91506076,1.3519869,0.9880359,0.056198455,0.79521173,0.24223493,0.72259134,0.819022,0.09302206,0.98740774,1.0460029,0.68775135
31/01/2011,0,0.8255436,0.899021,0.47138488,0.28145072,0.003570871,0.014303402,1.1205845,0.07754725,1.2389413,0.046105895,0.8197093,0.0622749,0.07983057
28/02/2011,0,0.12138007,0.050915416,0.029640876,0.023494935,0,0,0.39576712,0.7384105,0.8048842,0,0.19591486,0.07220077,0.012211757
31/03/2011,0,0,0,0,0,0.36522502,0,0,0,0,0,0,0.015175053,0
30/04/2011,6,0,0,0.000936488,0,1.8200378,0.013452105,0,0.003491235,0,0,0,0.010253806,0
31/05/2011,29,0,0,0,0,34.935005,16.111397,0,0.28533143,0.039404076,15.979049,0.055160236,6.0987253,1.6277497
30/06/2011,219,26.178715,24.324017,30.853249,29.47366,155.98366,80.38179,6.376849,27.965813,3.8286297,78.68519,10.317638,100.20633,84.30085
31/07/2011,82,67.75471,80.61027,74.00793,72.50486,277.99017,158.04697,73.19955,41.817776,60.390293,114.41939,91.40896,203.48303,279.2732
31/08/2011,20,199.65286,197.61829,190.36465,206.66612,464.37277,322.68314,137.486,147.48685,100.05981,264.46042,188.73141,392.84787,527.5009
30/09/2011,0,131.83699,116.036125,112.03148,125.19101,253.65472,191.72627,91.00044,84.07749,75.87822,161.62032,98.43028,213.65878,256.34344
