date;Dakar_yoff;Diourbel;Fatick;Kaffirine;Kaolak;Kedougou;Kolda;Louga;Matam;Stlouis;Tamba;Thies;Sediou;Ziguinchor
01/07/2002;4.4215693;0.7590512;0.71551275;1.1553913;1.4548842;2.892565;2.97127;0.10616891;0.4309276;0.29980764;2.0598173;0.12112688;3.2542813;3.6926074
01/08/2002;3.614366;2.3226132;2.438767;2.5493336;2.6057186;3.6206636;3.1566582;1.8302705;1.2089778;1.2382259;2.3904862;1.867651;3.4335759;3.411145
01/09/2002;3.3939555;3.499781;3.6879945;3.9942338;3.8884356;4.248013;4.0453596;3.0278666;1.4554942;2.0984757;3.9076962;2.9293299;3.7924974;4.057755
01/10/2002;3.748309;2.5584483;2.756603;3.2476065;3.4248765;3.751764;3.7260187;1.7855698;0.61938816;1.3558902;2.991884;2.144372;3.986652;4.3174915
01/11/2002;6.2602534;0.52207524;0.78127813;0.92255974;1.4237185;1.4849259;1.5507191;0.30423608;0.17591752;0.42636693;0.40404406;0.62305105;3.268239;3.5959864
01/12/2002;4.2255893;0.15019533;0.36230218;0.3732182;0.8865017;0.59528744;0.6572846;0.16253534;0.15793648;0.37912744;0.14569145;0.22990257;1.8786108;2.2667916
01/01/2003;4.2035656;0.079273246;0.23843348;0.1919223;0.6802287;0.3422685;0.4063202;0.07500686;0.1501888;0.31928065;0.08011237;0.13753307;1.3785521;1.7854637
01/02/2003;1.9827671;0.062103383;0.19773282;0.13925694;0.61426216;0.2619419;0.33609754;0.062490813;0.16504712;0.24881679;0.05548075;0.10769535;1.1612597;1.594454
01/03/2003;1.7909669;0.045104418;0.18163258;0.11397758;0.6673108;0.21700747;0.33683935;0.058199745;0.2045934;0.2676947;0.049398746;0.09694742;1.1217138;1.6803612
01/04/2003;1.6847588;0.04691584;0.13584179;0.07796753;0.6099483;0.17544301;0.32561365;0.06345241;0.22808835;0.31251925;0.047163107;0.07070601;1.004817;1.5184567
01/05/2003;2.0095668;0.028333627;0.10628253;0.050141476;0.5309219;0.18670037;0.30543002;0.057491474;0.2432661;0.2944041;0.039379112;0.06752554;0.8382453;1.2799995
01/06/2003;2.590839;0.18666126;0.28021073;0.31119493;0.7133037;2.5244057;1.9266503;0.11789892;0.56465065;0.2605496;1.0275282;0.14230329;1.414246;1.5455475
01/07/2003;3.491614;1.3237009;1.4659995;2.5831769;2.4227154;3.8351276;3.3884048;0.6786017;1.3002837;0.64374226;2.6962533;0.8674208;3.1532385;3.505921
01/08/2003;3.7933252;2.1707063;2.5632987;3.2529812;3.123426;3.6872773;3.457019;1.2564781;2.5990856;0.98496306;3.3110502;1.8038815;3.3017368;3.7055948
01/09/2003;2.8722546;3.448382;3.5394375;3.6494668;3.5514832;4.126965;3.8301544;3.3057947;3.133213;2.7785516;3.8396754;2.8265352;3.640213;3.9731524
01/10/2003;3.3986607;3.4934757;3.8223994;3.815311;3.971098;4.2151136;3.8386369;2.9220934;1.8714666;2.0879126;3.6547937;2.6428196;3.7804964;4.186345
01/11/2003;4.6655235;1.889659;2.0012376;2.0558918;2.4182358;3.5885406;3.3947918;0.88092124;0.3140145;0.49547106;2.0689783;1.0972475;3.8253489;4.076991
01/12/2003;5.08821;0.6299345;0.9509241;0.8396553;1.3603717;1.7072968;1.8159328;0.32018778;0.21002814;0.38642344;0.7655043;0.46428385;2.314658;2.4990523
01/01/2004;3.907308;0.38827118;0.6575128;0.5295929;1.0522511;1.0292809;1.1564521;0.27941447;0.17979276;0.37835073;0.4254086;0.34091622;1.7860597;2.131722
01/02/2004;2.1874123;0.24486147;0.52377677;0.37327594;0.9435117;0.8552894;0.95836633;0.15276018;0.18175878;0.23168698;0.29483345;0.2186168;1.653906;2.0444236
01/03/2004;2.2391453;0.17361808;0.45698416;0.26989168;0.9226389;0.69701576;0.87690073;0.1351405;0.21186285;0.31156278;0.19236562;0.19377284;1.602605;2.1193438
01/04/2004;2.356924;0.10796171;0.3176499;0.16586763;0.74631906;0.5825041;0.74156374;0.09834953;0.23723859;0.29170886;0.1584217;0.10747556;1.3699392;1.833708
01/05/2004;2.2738204;0.06766431;0.24649315;0.113607384;0.66882557;0.97898394;0.97161436;0.09077415;0.25174674;0.30773413;0.33124164;0.088369474;1.3571;1.7207106
01/06/2004;2.187673;0.15932974;0.27847475;0.4218528;0.7481808;2.8468146;2.0526834;0.14126487;0.22997893;0.26725605;1.42123;0.09895302;2.266909;2.425434
01/07/2004;3.2149181;1.1268417;1.9086077;1.9032285;2.465383;3.4171333;3.1466615;0.62215143;1.4214144;0.42334944;2.6134057;0.7267399;3.0951333;3.5718772
01/08/2004;2.8023422;2.7637193;3.0669608;3.3820086;3.465632;3.96863;3.7003505;2.441629;1.5992252;1.7621759;3.3497903;2.135547;3.4435446;3.8288198
01/09/2004;2.1482072;3.2090359;3.2284307;3.5443883;3.681982;4.5850325;4.0226607;1.4500432;0.97845125;0.44048485;3.846964;2.5647488;3.5986304;3.89726
01/10/2004;3.5854094;1.1934172;1.7540985;1.7077234;2.5768;4.0393033;3.7553115;0.24884194;0.25233907;0.3251657;2.0674775;0.7593967;4.082543;4.519826
01/11/2004;5.076714;0.1282189;0.30786172;0.32404903;0.9511393;1.8911985;2.1164286;0.07868558;0.18281582;0.3342973;0.43359864;0.07690769;3.1450605;3.3630505
01/12/2004;4.40149;0.048752874;0.15130267;0.14064741;0.6235512;0.7739784;1.0394557;0.05736202;0.15830341;0.31002238;0.1655193;0.043444335;1.9029826;2.175318
01/01/2005;3.372334;0.035846606;0.13150555;0.09145681;0.5765865;0.42628217;0.6743511;0.051139854;0.1564864;0.290717;0.09061303;0.034366734;1.5308652;1.957993
01/02/2005;3.0988007;0.09600725;0.18936023;0.11409912;0.6209463;0.38184226;0.69679135;0.31909066;0.2631722;0.60789007;0.1466116;0.12672879;1.5438153;1.955756
01/03/2005;1.5794486;0.061983243;0.134998;0.08294545;0.5954886;0.3800178;0.74452627;0.075215474;0.23685023;0.31897798;0.09872485;0.06392971;1.4059265;1.9733254
